n_lags,n_forecasts,ar_layers,ar_reg,seasonality_mode,rmse,mae,nrmse,nmae,score,score_std,n_folds
192,96,[],1.0,additive,367.3647155761719,180.53353271484374,0.06803050288447628,0.033432135687934024,0.050731319286205154,0.009337930471484221,5
288,96,[],0.5,additive,366.7436279296875,181.6621063232422,0.06791548665364583,0.03364113080060041,0.05077830872712311,0.009427119112629069,5
192,96,[],0.5,additive,367.08204956054686,181.41697998046874,0.0679781573260272,0.033595737033420135,0.050786947179723665,0.009470097772188168,5
96,96,[],0.5,additive,366.6363159179688,181.96915588378906,0.0678956140588831,0.03369799183033131,0.050796802944607214,0.009379570758842902,5
96,96,[],1.0,additive,367.0965148925781,181.57972717285156,0.06798083609121817,0.03362587540237992,0.05080335574679904,0.009241733204528932,5
192,96,[],0.1,additive,366.7084228515625,182.966259765625,0.0679089671947338,0.033882640697337964,0.05089580394603588,0.00961142671109329,5
48,96,[],1.0,additive,368.8570251464844,182.14299926757812,0.06830685650860822,0.033730185049551505,0.051018520779079854,0.009200391504286597,5
288,96,[],0.1,additive,366.7239501953125,184.84618225097657,0.06791184262876157,0.03423077449092159,0.051071308559841586,0.009535942714419985,5
96,96,[],0.1,additive,367.1698791503906,184.99610900878906,0.06799442206488715,0.034258538705331305,0.05112648038510923,0.009362299100633558,5
8,96,[],0.5,additive,371.58587646484375,183.95310668945314,0.06881219934534144,0.03406539012767651,0.051438794736508975,0.009131129860062826,5
8,96,[],0.1,additive,371.3164367675781,184.34927673339843,0.06876230310510706,0.03413875495062934,0.051450529027868196,0.009090069862854322,5
8,96,"[32, 32, 32, 32]",0.5,additive,369.6284912109375,186.14439392089844,0.06844972059461805,0.03447118405942564,0.051460452327021844,0.00894779014183102,5
4,96,"[32, 32, 32, 32]",0.5,additive,370.1320068359375,185.7347900390625,0.06854296422887732,0.03439533148871528,0.051469147858796305,0.008923374916295307,5
4,96,"[32, 32, 32, 32]",1.0,additive,370.4590270996094,185.8317077636719,0.0686035235369647,0.034413279215494794,0.05150840137622974,0.008985145883340435,5
8,96,"[32, 32, 32, 32]",1.0,additive,370.1675964355469,186.4300964355469,0.06854955489547165,0.03452409193250868,0.051536823413990164,0.008863548839162107,5
4,96,"[32, 32, 32, 32]",0.1,additive,370.53493041992186,186.26174621582032,0.06861757970739293,0.03449291596589265,0.0515552478366428,0.009007250169813906,5
8,96,[],1.0,additive,372.25323486328125,184.99493713378905,0.06893578423394098,0.03425832169144242,0.0515970529626917,0.008986545021221351,5
4,96,[64],0.5,additive,371.2434875488281,186.48392333984376,0.06874879399052372,0.034534059877748845,0.05164142693413628,0.009119648630225612,5
8,96,"[32, 32, 32, 32]",0.1,additive,371.2101623535156,186.94330749511718,0.06874262265805844,0.034619131017614296,0.05168087683783636,0.008960074612008005,5
8,96,[64],0.1,additive,371.81687622070314,186.6610900878906,0.06885497707790798,0.034566868534794556,0.05171092280635127,0.00912337253598077,5
8,96,[64],0.5,additive,371.79627685546876,187.05887451171876,0.06885116238064236,0.034640532316984954,0.051745847348813656,0.00909497754631716,5
4,96,[64],0.1,additive,371.96796875,187.34957885742188,0.06888295717592592,0.034694366455078125,0.05178866181550203,0.00890471506532104,5
4,96,[64],1.0,additive,371.94996948242186,187.80406188964844,0.06887962397822626,0.03477852997956452,0.0518290769788954,0.009006372099855862,5
8,96,[64],1.0,additive,371.85487060546876,187.92183532714844,0.06886201307508681,0.03480033987539786,0.05183117647524234,0.008981024345740735,5
288,96,[],1.0,additive,371.748583984375,194.35369873046875,0.06884233036747685,0.03599142569082755,0.0524168780291522,0.00798542476381465,5
48,96,"[32, 32, 32, 32]",0.1,additive,371.570654296875,194.85932312011718,0.06880938042534722,0.03608505983705874,0.052447220131202975,0.009435979532655084,5
288,96,"[32, 32, 32, 32]",0.1,additive,371.962109375,201.61937561035157,0.06888187210648149,0.03733692140932436,0.05310939675790292,0.009530314516785635,5
48,96,"[32, 32, 32, 32]",0.5,additive,376.3515563964844,198.24038391113282,0.06969473266601563,0.03671118220576534,0.05320295743589047,0.009773182570763312,5
48,96,[64],1.0,additive,376.3341979980469,201.18950500488282,0.06969151814778646,0.03725731574164497,0.05347441694471572,0.008414324529613992,5
192,96,[64],0.1,additive,375.6302917480469,202.71109008789062,0.0695611651385272,0.03753909075701678,0.05355012794777199,0.010715543551381013,5
96,96,"[32, 32, 32, 32]",0.1,additive,375.9798522949219,205.26488647460937,0.06962589857313368,0.03801201601381655,0.05381895729347511,0.009375758562141021,5
48,96,"[32, 32, 32, 32]",1.0,additive,380.52313232421875,201.79373168945312,0.07046724672670718,0.03736920957212095,0.05391822814941406,0.00970124633380879,5
288,96,[64],1.0,additive,375.54082641601565,207.3987579345703,0.06954459748444734,0.0384071773952908,0.05397588743986907,0.008981662058534073,5
48,96,[],0.1,additive,379.71522216796876,204.76032409667968,0.07031763373480902,0.037918578536422165,0.054118106135615594,0.007305764152606356,5
48,96,[64],0.5,additive,379.37025756835936,206.1763702392578,0.07025375140154803,0.03818080930356626,0.05421728035255715,0.008756603282748611,5
96,96,"[32, 32, 32, 32]",0.5,additive,378.54535522460935,207.8296691894531,0.07010099170826099,0.03848697577582465,0.05429398374204282,0.010902705497062825,5
288,96,[64],0.5,additive,377.68027954101564,211.29348754882812,0.0699407925075955,0.039128423620153355,0.054534608063874425,0.009627529035182615,5
48,96,[],0.5,additive,381.90363159179685,207.07142944335936,0.07072289473922164,0.03834656100802951,0.05453472787362558,0.007083345257273617,5
96,96,[64],0.5,additive,381.1068359375,210.14534912109374,0.07057533998842593,0.038915805392795134,0.05474557269061053,0.008407894547127755,5
288,96,"[32, 32, 32, 32]",1.0,additive,384.11619262695314,210.1415588378906,0.07113262826425058,0.03891510348849826,0.05502386587637442,0.012686751637593429,5
192,96,[64],1.0,additive,378.58930053710935,215.91965942382814,0.07010912972909432,0.03998512211552373,0.05504712592230904,0.010011918088370887,5
192,96,"[32, 32, 32, 32]",1.0,additive,385.2601257324219,209.59026489257812,0.07134446772822628,0.0388130120171441,0.055078739872685176,0.011947124626894876,5
192,96,"[32, 32, 32, 32]",0.5,additive,385.62275390625,210.23765563964844,0.07141162109375,0.03893289919252749,0.05517226014313874,0.013321475504671582,5
96,96,"[32, 32, 32, 32]",1.0,additive,382.2761596679687,214.9118865966797,0.07079188141999421,0.039798497517903646,0.05529518946894892,0.011885608691027668,5
288,96,"[32, 32, 32, 32]",0.5,additive,387.5917663574219,211.88314514160157,0.07177625302915219,0.03923761947066696,0.05550693624990958,0.012955362326366264,5
96,96,[64],1.0,additive,385.98228759765624,216.4826416015625,0.07147820140697338,0.04008937807436343,0.05578378974066841,0.011147932353520311,5
48,96,[64],0.1,additive,386.21180419921876,216.4542205810547,0.07152070448133681,0.040084114922417535,0.05580240970187718,0.007897238012154714,5
192,96,[64],0.5,additive,383.62183837890626,220.74981079101562,0.07104108118127894,0.04087959459092882,0.05596033788610387,0.009997043870549557,5
192,96,"[32, 32, 32, 32]",0.1,additive,397.93976440429685,211.46176147460938,0.07369254896375868,0.039159585458260995,0.056426067211009845,0.015138059386638003,5
96,96,[64],0.1,additive,388.04302368164065,221.6201965332031,0.07185981920030382,0.041040777135778354,0.05645029816804109,0.010624221908878344,5
288,96,[64],0.1,additive,398.9349060058594,221.71570434570313,0.07387683444552952,0.041058463767722805,0.05746764910662615,0.014899221917497731,5
4,96,[],1.0,additive,416.56358032226564,227.06468200683594,0.07714140376338252,0.0420490151864511,0.05959520947491681,0.01145905509606837,5
4,96,[],0.1,additive,421.54082641601565,232.73717041015624,0.07806311600296587,0.043099476001880785,0.060581296002423325,0.019026010389353705,5
4,96,[],0.5,additive,422.16139526367186,234.1770446777344,0.07817803615993923,0.043366119384765624,0.060772077772352426,0.017770908939023028,5
